,comment
0,"['add', 'marble', 'diagrams', 'single', 'operators']"
1,"['change', 'hasexception', 'hasthrowable']"
2,"['trying', 'extend', 'scheduler', 'interface', 'according', 'comments', '19']"
3,"['runasync', 'method', 'outputting', 'multiple', 'values']"
4,"['foreach', 'action1', 'observeri', 'reread', 'msdn', 'docs', 'found', 'previous', 'implementation', 'wasnt', 'complying', 'contracthttpmsdnmicrosoftcomenuslibraryhh211815vvs103aspxi', 'believe']"
5,"['extract', 'unsubscribetester', 'top', 'level']"
6,['cleaning']
7,"['trying', 'fix', 'nondeterministic', 'test', 'sure', 'way', 'putting', 'threadsleep', 'give', 'time', 'countdownlatch', 'triggers', 'process', 'scheduler', 'execute', 'next', 'line', 'threadsee', 'httpsgithubcomnetflixrxjavapull201', 'information']"
8,"['1x', 'fix', 'completable', 'swallows', 'onerrornotimplementedexception', '3904']"
9,"['fix', 'unit', 'test', 'last', 'changed', 'behavior']"
10,"['incoporate', 'review', 'suggestionssplits', 'compound', 'unit', 'test', 'partsuses', 'mockito', 'instead', 'bespoke', 'test', 'objectremoves', 'unused', 'import', 'statementschanges', 'order', 'finally', 'action', 'wrt', 'oncompleteonerror']"
11,"['fixed', 'byline', 'test', 'use', 'lineseparator', 'system', 'property', 'instead', 'n']"
12,"['add', 'compositesubscription', 'also', 'utility', 'method', 'creating', 'subscription', 'around', 'future']"
13,"['spare', 'redundant', 'calls', 'sleepingaction', 'around', 'determining', 'delay', 'value', '3903', 'remove', 'redundant', 'outer', 'conditional', 'skip', 'calling', 'systemcurrenttimemillis', 'could', 'potentially', 'result', 'different', 'values']"
14,"['adding', 'missing', 'javadocs', 'testsubject', '1322']"
15,"['added', 'takelast', 'observable']"
16,"['reduce', 'duplication', 'making', 'schedule', 'special', 'caseforwards', 'schedule', 'later', 'delay', '0']"
17,"['wraps', 'dooneach', 'safeobserverthis', 'commit', 'leverages', 'safeobserver', 'facility', 'get', 'desiredbehavior', 'face', 'exceptions', 'specifically', 'theoperations', 'performed', 'within', 'dooneach', 'handler', 'raises', 'exceptionthat', 'exception', 'propagate', 'observable', 'chain']"
18,"['switch', 'atomicintegerfieldupdater', 'volatile', 'int', 'instead', 'atomicboolean']"
19,"['refactored', 'takeuntil', 'use', 'takewhile']"
20,"['removed', 'window', 'two', 'synchronized', 'blocks']"
21,"['added', 'license', 'header', 'operationbuffer']"
22,[]
23,"['forward', 'subscription', 'wrapped', 'subscriber']"
24,"['additions', 'tests']"
25,"['takewhile', 'protect', 'calls', 'predicate']"
26,"['subscribe', 'methods', 'typed', 'action', 'arguments']"
27,"['restructure', 'smaller', 'files']"
28,"['set', 'threads', 'daemons', 'dont', 'prevent', 'system', 'exiting', 'applies', 'pools', 'rxjava', 'creates', 'users', 'executors', 'inject']"
29,"['confusing', 'javadoc', 'toobservablefuture', 'methodshttpsgithubcomnetflixrxjavaissues148']"
30,"['implement', 'cached', 'thread', 'scheduler', 'using', 'event', 'loops']"
31,"['nondeterministic', 'testusersubscriberusingrequestasyncfix', 'nondeterministic', 'failures', 'backpressureteststestusersubscriberusingrequestasynci', 'able', 'replicate', 'occasional', 'failure', 'putting', 'tight', 'loop', 'changes', 'longer', 'fails']"
32,"['fix', 'multiple', 'subscription', 'bug', 'operation', 'filtera', 'new', 'subscription', 'must', 'created', 'every', 'subscribe', 'call', 'otherwise', 'anysubscribe', 'call', 'first', 'directly', 'fails']"
33,"['update', 'observableisinternalimplementation', 'get', 'rid', 'nullpointerexceptionnullpointerexception', 'encountered', 'tests', 'javalangclassgetpackage', 'may', 'return', 'null', 'package', 'information', 'available', 'archive', 'codebase', 'documented', 'feature']"
34,"['perf', 'tests', 'jmh']"
35,"['add', 'operators', 'create', 'observables', 'broadcastreceiverit', 'allows', 'listen', 'global', 'local', 'support', 'localbroadcastmanager', 'broadcasts']"
36,"['unit', 'tests', 'covariance', 'refactoring', 'everything', 'entire', 'observable', 'ends', 'single', 'class']"
37,"['remove', 'unnecessary', 'subscription', 'explicit', 'error', 'case', 'joinobserver']"
38,"['fixed', 'issue', '417']"
39,"['add', 'synchronous', 'test', 'resubscribe', 'error']"
40,"['added', 'variance', 'action']"
41,"['cleanup', 'javadocs']"
42,"['added', 'channelobservableget']"
43,"['added', 'create', 'initial', 'capacity', 'minor', 'fix']"
44,"['move', 'last', '6', 'remaining', 'unit', 'tests']"
45,"['delay', 'error', 'cut', 'ahead', 'properly', 'serialized']"
46,"['switched', 'default', 'scheduler', 'actually', 'works', 'together', 'operator']"
47,"['updated', 'test', 'added', 'another', 'one', 'trying', 'get', 'expected', 'behavior', 'right']"
48,"['1x', 'fix', 'completableonerrorcompletefunc1', 'relaying', 'function', 'crash', '4027']"
49,"['better', 'naming', 'new', 'test', 'using', 'compare', '019', '020', 'want']"
50,"['add', 'unit', 'tests', 'recursive', 'scheduler', 'usagethese', 'tests', 'came', 'mairbek', 'httpsgithubcomnetflixrxjavapull229issuecomment16115941']"
51,"['implemented', 'periodic', 'scheduling', 'needs', 'testing']"
52,"['fix', 'sticky', 'intent', 'duplication', 'add', 'tests', 'operatorbroadcast']"
53,"['make', 'functionsfrom', 'typesafe']"
54,"['add', 'singledoafterterminate']"
55,"['made', 'public', 'window', 'methods', 'generic', 'via', 'basic', 'lol', 'superextends', 'fluff', 'also', 'simplified', 'api', 'removing', 'useless', 'super', 'definitions', 'theres', 'super', 'opening', 'closing']"
56,"['baseline', 'performance', 'testsstart', 'suite', 'general', 'performance', 'tests', 'comparing', 'overall', 'changes']"
57,"['made', 'windowmaker', 'typed']"
58,"['change', 'order', 'generics', 'func', 'r', 'r', 'match', 'c', 'rx']"
59,"['removed', 'synchronized', 'block', 'per', 'rxjava', 'guidelines', '67']"
60,"['better', 'name', 'worker', 'class', 'running', 'scheduled', 'actions']"
